town,county,acs_population,primary_action,secondary_signals,decision_note,climate_safe_housing_mvp_score,housing_need_score,social_vulnerability_score,infrastructure_efficiency_proxy_score,resilience_investment_priority_score,pct_cost_burdened_households,pct_cost_burdened_renter_households,pct_below_poverty,pct_zero_vehicle_households,pct_65_plus,pct_with_disability,pct_under_18,pct_seasonal_housing_units,pct_long_commute_workers,pct_no_internet_or_subscription_households,climate_asset_sample_count,bridge_sample_count,culvert_sample_count,slr_site_sample_count,flood_site_sample_count
Robbinston,Washington,621.0,Infrastructure capacity build-out,high housing need; infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",46.66,61.61,50.95,43.32,40.4,36.97,60.61,15.18,0.79,27.05,25.91,14.33,15.38,3.29,5.12,0.0,0.0,0.0,0.0,0.0
Richmond,Sagadahoc,3566.0,Monitor and screen after hazard layers,sample asset review,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,46.54,53.4,39.84,45.82,32.88,32.59,46.96,12.37,11.13,15.56,13.41,23.02,1.01,12.0,0.0,1.0,0.0,0.0,0.0,1.0
Monticello,Aroostook,674.0,Infrastructure capacity build-out,infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",46.52,58.37,62.26,35.95,47.87,34.78,37.5,19.43,4.53,28.19,34.27,13.8,11.33,13.21,6.27,0.0,0.0,0.0,0.0,0.0
Blue Hill,Hancock,2813.0,Seasonal market stabilization,high housing need; seasonal/year-round housing pressure; sample asset review,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,46.46,71.45,43.88,45.03,45.32,58.75,93.62,4.71,11.7,29.61,16.48,18.27,28.44,7.9,1.38,1.0,0.0,0.0,1.0,0.0
Gilead,Oxford,187.0,Infrastructure capacity build-out,high housing need; infrastructure capacity gap; sample asset review,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",46.31,68.7,50.56,38.5,47.65,51.89,65.96,10.81,1.85,40.64,19.25,12.3,20.67,12.68,2.78,1.0,0.0,0.0,0.0,1.0
Baileyville,Washington,1339.0,Monitor and screen after hazard layers,sample asset review,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,46.27,54.54,44.38,48.54,30.96,27.87,67.03,15.83,2.85,19.87,21.96,20.69,8.71,0.56,0.47,1.0,0.0,0.0,0.0,1.0
Gardiner,Kennebec,6088.0,Infrastructure capacity build-out,infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",46.24,52.31,41.16,43.11,36.05,36.55,44.56,10.45,8.97,19.73,16.43,16.57,0.36,17.22,0.88,0.0,0.0,0.0,0.0,0.0
Lubec,Washington,1346.0,Seasonal market stabilization,high housing need; seasonal/year-round housing pressure; infrastructure capacity gap,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,46.22,64.4,56.71,43.98,47.16,31.63,40.57,14.69,13.21,41.23,18.5,14.41,26.81,8.54,0.58,0.0,0.0,0.0,0.0,0.0
Addison,Washington,1045.0,Resilience before or alongside growth,resilience before growth; high housing need; infrastructure capacity gap,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,46.2,68.29,60.48,34.22,53.76,31.04,60.0,22.12,3.16,24.4,31.1,15.69,23.63,13.88,6.11,0.0,0.0,0.0,0.0,0.0
North Penobscot UT,Penobscot,518.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,46.2,80.47,49.61,35.09,54.73,46.89,100.0,21.62,0.0,29.15,11.58,8.11,68.86,16.18,0.0,0.0,0.0,0.0,0.0,0.0
Dixfield,Oxford,2300.0,Infrastructure capacity build-out,infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",46.15,55.43,43.91,40.06,37.21,35.11,48.0,14.02,8.46,21.09,15.59,16.87,0.89,16.73,0.0,0.0,0.0,0.0,0.0,0.0
Jonesboro,Washington,570.0,Infrastructure capacity build-out,infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",46.12,59.43,41.82,44.18,34.25,38.93,55.1,14.04,2.24,15.44,19.86,16.32,8.67,4.76,1.87,0.0,0.0,0.0,0.0,0.0
Swanville,Waldo,1195.0,Infrastructure capacity build-out,high housing need; infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",46.07,64.15,54.85,35.11,49.1,31.71,47.5,22.96,2.08,20.25,25.36,15.23,15.2,17.54,3.29,0.0,0.0,0.0,0.0,0.0
East Machias,Washington,1223.0,Infrastructure capacity build-out,high housing need; infrastructure capacity gap; sample asset review,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",46.02,68.37,45.63,40.98,42.66,40.72,56.36,15.91,3.8,19.38,18.48,23.3,21.34,7.18,1.52,1.0,0.0,0.0,1.0,0.0
Alfred,York,3125.0,Infrastructure capacity build-out,infrastructure capacity gap; workforce commute pressure,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",45.93,57.82,40.12,40.2,38.18,44.52,82.21,9.03,5.6,25.38,14.46,17.7,3.14,18.42,0.0,0.0,0.0,0.0,0.0,0.0
South Berwick,York,7670.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,45.88,48.93,27.24,54.04,24.39,41.39,53.53,3.43,1.38,15.76,14.0,26.66,0.54,6.08,0.0,0.0,0.0,0.0,0.0,0.0
Freeport,Cumberland,8802.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,45.81,52.07,31.7,51.57,31.13,34.78,61.98,8.55,1.91,26.71,7.14,19.37,6.57,10.88,0.27,0.0,0.0,0.0,0.0,0.0
Bridgewater,Aroostook,484.0,Infrastructure capacity build-out,infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",45.79,52.85,50.3,44.19,35.71,37.39,38.89,12.03,5.11,27.48,27.89,17.15,7.02,7.96,0.0,0.0,0.0,0.0,0.0,0.0
Lagrange,Penobscot,709.0,Resilience before or alongside growth,resilience before growth; high housing need; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,45.79,66.81,51.68,29.31,52.34,40.53,66.67,18.39,7.32,18.19,22.0,24.68,10.67,28.57,1.05,0.0,0.0,0.0,0.0,0.0
Pittston,Kennebec,3093.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,45.74,49.19,41.96,47.5,29.94,27.27,57.58,10.18,9.38,18.53,22.15,17.17,1.58,6.93,0.0,0.0,0.0,0.0,0.0,0.0
Jonesport,Washington,1166.0,Infrastructure capacity build-out,high housing need; infrastructure capacity gap; sample asset review,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",45.71,65.43,45.74,43.18,41.21,38.99,57.41,13.55,4.04,26.5,17.69,16.72,21.1,5.11,2.5,1.0,0.0,0.0,1.0,0.0
Highland,Somerset,154.0,Resilience before or alongside growth,resilience before growth; infrastructure capacity gap; digital resilience gap,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,45.68,53.56,69.2,37.3,54.78,45.13,0.0,28.57,0.0,66.23,16.88,3.25,14.39,13.64,16.81,0.0,0.0,0.0,0.0,0.0
Stockholm,Aroostook,222.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,45.65,55.1,45.02,47.38,34.25,26.61,57.14,13.06,10.0,21.17,18.47,14.41,10.37,2.44,3.64,0.0,0.0,0.0,0.0,0.0
Phillips,Franklin,1094.0,Seasonal market stabilization,high housing need; seasonal/year-round housing pressure; infrastructure capacity gap,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,45.61,64.42,56.98,41.85,47.05,28.37,40.43,17.66,12.28,21.3,27.7,20.66,26.91,5.43,3.79,0.0,0.0,0.0,0.0,0.0
Mount Chase,Penobscot,280.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,45.53,71.88,62.34,35.08,57.67,37.39,28.57,30.71,7.5,28.93,22.14,22.14,53.71,16.67,1.67,0.0,0.0,0.0,0.0,0.0
Berwick,York,8175.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,45.49,48.73,29.5,50.67,28.14,37.3,50.58,4.16,6.06,17.19,12.18,22.67,0.0,11.9,0.21,0.0,0.0,0.0,0.0,0.0
Gorham,Cumberland,18300.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,45.45,39.38,26.05,57.79,23.73,30.46,37.91,3.71,4.11,17.49,10.99,20.89,0.0,9.75,0.63,0.0,0.0,0.0,0.0,0.0
Whitneyville,Washington,170.0,Infrastructure capacity build-out,infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",45.42,58.37,47.86,37.46,39.98,42.59,100.0,12.35,0.0,26.47,24.12,28.24,6.49,9.68,6.45,0.0,0.0,0.0,0.0,0.0
Topsham,Sagadahoc,9706.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,45.34,42.59,35.47,52.79,26.76,31.23,40.3,6.41,4.76,24.38,16.81,19.91,0.0,8.49,0.4,0.0,0.0,0.0,0.0,0.0
Lisbon,Androscoggin,9750.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,45.31,47.83,30.01,49.8,28.31,39.66,43.43,5.33,4.22,16.18,12.91,22.15,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0
Vassalboro,Kennebec,4592.0,Infrastructure capacity build-out,infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",45.31,55.87,41.23,42.71,37.4,33.97,54.77,12.02,5.1,20.27,18.74,23.3,7.78,14.63,0.0,0.0,0.0,0.0,0.0,0.0
Searsport,Waldo,2655.0,Infrastructure capacity build-out,high housing need; infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",45.28,60.34,48.92,39.94,45.04,32.32,48.21,14.59,7.23,23.69,23.42,15.78,15.35,17.95,0.0,0.0,0.0,0.0,0.0,0.0
Westfield,Aroostook,389.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,45.19,45.82,55.43,50.24,35.41,50.42,0.0,13.88,0.0,27.25,34.19,8.74,10.42,3.92,2.17,0.0,0.0,0.0,0.0,0.0
Fort Kent,Aroostook,4150.0,Infrastructure capacity build-out,infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",45.18,51.47,41.8,43.75,33.69,30.37,61.23,11.15,6.22,20.72,19.65,14.55,3.41,9.77,2.55,0.0,0.0,0.0,0.0,0.0
Grand Lake Stream,Washington,169.0,Seasonal market stabilization,high housing need; seasonal/year-round housing pressure; infrastructure capacity gap,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,45.15,69.64,51.47,43.48,45.41,34.26,100.0,14.2,6.78,63.91,8.88,8.28,47.06,0.0,3.39,0.0,0.0,0.0,0.0,0.0
Harrington,Washington,917.0,Seasonal market stabilization,high housing need; seasonal/year-round housing pressure; infrastructure capacity gap,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,45.1,65.29,50.82,42.91,42.75,33.69,79.31,13.69,5.06,31.95,24.3,15.7,26.74,3.97,0.0,0.0,0.0,0.0,0.0,0.0
Sabattus,Androscoggin,5116.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,45.04,50.01,41.76,45.07,34.97,40.59,38.68,8.8,2.29,24.39,22.57,13.82,4.12,14.12,0.55,0.0,0.0,0.0,0.0,0.0
Troy,Waldo,984.0,Resilience before or alongside growth,resilience before growth; high housing need; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,45.01,62.8,48.79,31.81,50.38,39.35,53.19,17.82,1.84,27.03,18.29,20.73,9.16,29.64,0.69,0.0,0.0,0.0,0.0,0.0
Dover-Foxcroft,Piscataquis,4506.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,44.92,59.14,44.35,46.34,38.43,33.51,37.31,15.12,6.11,21.42,17.16,21.19,20.54,6.1,0.0,0.0,0.0,0.0,0.0,0.0
Fryeburg,Oxford,3489.0,Affordability and parcel screen,high housing need; sample asset review,"Housing need is high; run parcel screening to find buildable, low-risk, infrastructure-efficient locations.",44.89,60.78,43.17,45.17,38.27,35.89,52.78,10.7,3.55,25.45,21.63,12.87,20.02,6.03,0.0,1.0,0.0,0.0,0.0,1.0
Fairfield,Somerset,6519.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,44.74,47.3,35.68,48.41,28.51,31.79,42.86,10.87,2.65,17.72,15.77,19.8,1.9,7.83,1.04,0.0,0.0,0.0,0.0,0.0
Southwest Harbor,Hancock,1553.0,Seasonal market stabilization,high housing need; seasonal/year-round housing pressure; sample asset review,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,44.74,70.39,43.84,45.18,42.64,40.16,50.38,9.26,9.44,26.66,17.04,14.49,43.86,1.87,0.0,2.0,0.0,0.0,2.0,0.0
Weston,Aroostook,275.0,Seasonal market stabilization,high housing need; seasonal/year-round housing pressure; infrastructure capacity gap,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,44.73,67.66,55.75,41.58,48.18,26.72,100.0,19.62,2.29,21.82,38.55,14.91,58.16,4.44,2.29,0.0,0.0,0.0,0.0,0.0
St. Albans,Somerset,1831.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,44.69,73.0,62.38,23.31,66.11,31.77,85.54,23.25,8.95,26.05,25.93,18.84,25.83,34.03,4.77,0.0,0.0,0.0,0.0,0.0
Kennebunk,York,11820.0,Monitor and screen after hazard layers,sample asset review,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,44.66,47.09,35.53,55.99,32.02,28.53,37.06,7.33,4.77,29.99,12.63,17.72,14.49,8.24,0.19,1.0,0.0,0.0,1.0,0.0
Athens,Somerset,791.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,44.59,70.59,56.5,32.89,54.48,26.22,100.0,23.28,7.96,24.4,22.24,21.74,28.88,18.41,0.32,0.0,0.0,0.0,0.0,0.0
Detroit,Somerset,650.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,44.57,44.48,57.61,40.96,38.38,21.01,25.58,23.08,5.44,18.46,32.46,18.31,2.12,14.59,0.68,0.0,0.0,0.0,0.0,0.0
Castine,Hancock,1362.0,Seasonal market stabilization,high housing need; seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,44.56,69.84,40.71,47.32,42.32,34.69,60.34,14.14,6.53,19.9,12.92,9.47,43.75,3.4,0.0,0.0,0.0,0.0,0.0,0.0
Castle Hill,Aroostook,281.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,44.54,52.71,42.0,47.59,30.58,39.2,75.0,4.27,3.55,44.84,15.66,14.23,9.64,0.79,1.42,0.0,0.0,0.0,0.0,0.0
Chebeague Island,Cumberland,555.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,44.49,71.53,50.22,39.4,53.67,42.39,93.85,12.5,2.64,44.32,15.99,18.56,47.47,17.05,1.13,0.0,0.0,0.0,0.0,0.0
Princeton,Washington,866.0,Infrastructure capacity build-out,infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",44.44,51.28,44.45,43.48,33.86,25.17,57.69,15.3,3.49,19.75,22.86,28.18,5.51,8.45,1.34,0.0,0.0,0.0,0.0,0.0
Stacyville,Penobscot,465.0,Infrastructure capacity build-out,infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",44.42,53.87,41.77,42.75,36.21,33.88,60.0,11.61,3.7,20.65,21.51,15.48,6.09,13.98,0.0,0.0,0.0,0.0,0.0,0.0
Washburn,Aroostook,1355.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,44.42,46.24,48.53,45.34,32.31,29.4,33.33,12.74,7.92,23.99,25.93,21.7,4.02,7.44,0.0,0.0,0.0,0.0,0.0,0.0
Palmyra,Somerset,2209.0,Infrastructure capacity build-out,infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",44.38,57.89,40.83,40.08,38.23,38.85,47.22,9.1,10.07,16.75,18.7,29.24,9.39,14.58,0.0,0.0,0.0,0.0,0.0,0.0
New Vineyard,Franklin,607.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,44.35,74.69,52.5,33.59,56.6,33.64,66.67,22.57,3.52,27.02,17.13,24.55,39.41,20.61,0.0,0.0,0.0,0.0,0.0,0.0
Brooksville,Hancock,853.0,Seasonal market stabilization,high housing need; seasonal/year-round housing pressure; infrastructure capacity gap,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,44.3,69.4,46.58,43.47,45.16,42.86,52.94,8.09,5.38,41.62,16.06,13.01,45.67,4.26,1.35,0.0,0.0,0.0,0.0,0.0
Columbia,Washington,529.0,Infrastructure capacity build-out,high housing need; infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",44.22,61.92,44.7,35.7,43.97,40.51,61.9,13.42,3.18,25.9,16.82,24.2,12.37,17.12,2.73,0.0,0.0,0.0,0.0,0.0
Waite,Washington,108.0,Resilience before or alongside growth,resilience before growth; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,44.21,49.7,65.53,26.77,50.91,76.09,0.0,14.81,19.61,27.78,27.78,10.19,0.0,29.17,3.92,0.0,0.0,0.0,0.0,0.0
Falmouth,Cumberland,12755.0,Monitor and screen after hazard layers,sample asset review,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,44.17,38.01,25.24,62.02,22.21,24.96,41.44,2.3,5.09,24.47,8.51,24.19,3.67,6.53,0.0,2.0,0.0,0.0,0.0,2.0
Sedgwick,Hancock,1274.0,Infrastructure capacity build-out,infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",44.17,59.31,48.9,42.36,42.05,28.6,47.06,16.9,1.41,36.5,17.5,14.29,20.33,9.23,1.1,0.0,0.0,0.0,0.0,0.0
Ashland,Aroostook,1080.0,Infrastructure capacity build-out,infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",44.15,55.8,60.42,35.66,47.21,29.08,25.71,23.61,4.62,32.22,25.56,14.26,16.13,16.82,0.0,0.0,0.0,0.0,0.0,0.0
Cumberland,Cumberland,8647.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,44.1,43.07,23.24,57.86,23.93,32.31,47.06,3.14,2.28,19.8,7.09,25.59,1.8,9.33,0.32,0.0,0.0,0.0,0.0,0.0
Camden,Knox,5242.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,44.09,56.19,41.54,47.28,38.45,35.66,39.94,8.95,6.43,38.0,9.87,18.43,19.35,8.51,1.58,0.0,0.0,0.0,0.0,0.0
Appleton,Knox,1360.0,Infrastructure capacity build-out,infrastructure capacity gap; workforce commute pressure,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",44.08,57.61,44.27,37.66,41.13,33.27,85.37,9.66,13.98,26.1,15.22,15.29,9.39,18.05,0.0,0.0,0.0,0.0,0.0,0.0
Winthrop,Kennebec,6191.0,Infrastructure capacity build-out,infrastructure capacity gap; workforce commute pressure,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",44.0,59.54,39.31,42.87,42.88,31.61,50.8,12.89,3.89,23.42,13.99,22.89,18.34,18.35,0.0,0.0,0.0,0.0,0.0,0.0
Warren,Knox,4932.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,43.92,51.93,26.15,47.75,27.06,41.15,52.08,6.02,2.01,12.04,9.5,13.95,2.81,8.51,0.61,0.0,0.0,0.0,0.0,0.0
Greene,Androscoggin,4417.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,43.84,48.66,34.62,44.48,32.14,23.85,54.79,13.87,6.6,15.1,9.97,23.25,0.66,16.1,0.0,0.0,0.0,0.0,0.0,0.0
Damariscotta,Lincoln,2192.0,Infrastructure capacity build-out,high housing need; infrastructure capacity gap; workforce commute pressure,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",43.8,61.55,46.41,36.75,45.92,35.89,68.17,11.86,6.48,31.16,18.01,19.39,17.28,18.85,0.71,0.0,0.0,0.0,0.0,0.0
Hodgdon,Aroostook,1428.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,43.73,48.4,41.84,45.03,30.59,24.55,45.33,12.06,9.26,20.66,16.81,25.35,4.62,4.22,3.2,0.0,0.0,0.0,0.0,0.0
Penobscot Indian Island Reservation,Penobscot,470.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,43.68,38.18,54.22,46.68,30.89,24.21,21.74,13.75,8.82,25.11,34.37,9.57,0.89,6.08,0.98,0.0,0.0,0.0,0.0,0.0
Baring,Washington,166.0,Infrastructure capacity build-out,infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",43.64,52.61,45.87,39.24,34.12,27.4,37.5,22.89,0.0,28.31,9.64,15.06,6.32,7.06,1.3,0.0,0.0,0.0,0.0,0.0
Andover,Oxford,679.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,43.56,71.11,50.85,36.12,53.74,36.92,100.0,16.05,2.68,27.1,19.59,8.84,44.86,9.03,10.7,0.0,0.0,0.0,0.0,0.0
Islesboro,Waldo,636.0,Seasonal market stabilization,high housing need; seasonal/year-round housing pressure; sample asset review,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,43.53,60.75,50.81,48.65,42.13,32.91,30.77,15.09,3.94,40.57,16.82,11.16,51.93,0.0,1.52,1.0,0.0,0.0,1.0,0.0
Lee,Penobscot,925.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,43.47,74.06,54.68,29.6,59.2,33.67,80.0,19.49,8.01,24.54,23.06,21.84,35.0,24.43,0.0,0.0,0.0,0.0,0.0,0.0
Madison,Somerset,4782.0,Infrastructure capacity build-out,infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",43.47,53.04,50.13,41.06,43.48,32.01,30.91,15.0,4.45,25.07,26.47,14.89,16.32,16.78,0.49,0.0,0.0,0.0,0.0,0.0
Penobscot,Hancock,1154.0,Infrastructure capacity build-out,high housing need; infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",43.29,65.71,43.73,37.32,47.18,36.75,73.91,16.03,0.75,31.98,11.09,18.02,23.23,16.87,1.51,0.0,0.0,0.0,0.0,0.0
Canton,Oxford,1191.0,Infrastructure capacity build-out,high housing need; infrastructure capacity gap; workforce commute pressure,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",43.23,61.85,40.89,36.69,43.63,44.3,88.89,8.37,4.13,27.71,16.83,20.4,15.18,19.49,0.0,0.0,0.0,0.0,0.0,0.0
Prentiss UT,Penobscot,210.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,43.21,67.86,61.91,31.98,56.5,17.53,100.0,26.19,5.83,31.9,28.57,2.86,33.51,18.0,0.0,0.0,0.0,0.0,0.0,0.0
York,York,13986.0,Seasonal market stabilization,high housing need; seasonal/year-round housing pressure; sample asset review,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,43.15,60.28,31.46,52.0,41.1,31.33,56.54,5.79,2.09,27.86,11.67,21.06,34.22,11.04,0.0,1.0,0.0,0.0,1.0,0.0
South Aroostook UT,Aroostook,767.0,Seasonal market stabilization,high housing need; seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,43.13,63.45,38.73,50.24,40.19,28.79,46.88,11.82,9.09,13.04,17.47,37.16,31.72,4.48,0.0,0.0,0.0,0.0,0.0,0.0
Oakland,Kennebec,6309.0,Infrastructure capacity build-out,infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",43.1,55.24,35.83,42.77,37.13,33.46,65.73,8.07,5.62,18.21,17.35,23.84,13.34,14.54,0.0,0.0,0.0,0.0,0.0,0.0
West Gardiner,Kennebec,3696.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,43.1,45.35,30.86,51.77,24.74,26.6,57.14,9.04,0.0,17.26,15.99,18.91,4.21,4.19,0.0,0.0,0.0,0.0,0.0,0.0
Marshfield,Washington,499.0,Infrastructure capacity build-out,infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",43.04,56.12,37.52,43.24,34.63,38.74,100.0,9.05,0.0,20.84,20.64,28.46,12.45,9.0,0.0,0.0,0.0,0.0,0.0,0.0
Monmouth,Kennebec,4162.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,43.01,56.2,33.7,46.12,35.73,34.1,54.6,9.3,2.17,18.4,14.86,19.01,15.84,11.38,0.0,0.0,0.0,0.0,0.0,0.0
